"","name","mean_2000","mean_2019","varname","value","weighted_count_2000","weighted_count_2019","prop_2000","prop_2019","e_component","c_component"
"13","RACE_ETH_bucketWhite",-0.750533645241279,-0.476092703260458,"RACE_ETH_bucket","White",189508611,192478662,0.692627686096902,0.608070516603281,0.040257051404271,0.19008539461443
"14","us_bornTRUE",-0.441638811807412,-0.364317961080219,"us_born","TRUE",240977442,270128492,0.880739124060228,0.853378602973171,0.00996792925652895,0.068099498341059
"15","AGE_bucket10-14",0.0812491636331795,0.0545712093929106,"AGE_bucket","10-14",20510256,20959661,0.07496214066249,0.0662148820013079,-0.00047734848401332,-0.0019998365583465
"16","AGE_bucket15-19",-0.016537239773601,-0.0825550418722873,"AGE_bucket","15-19",18486736,19284110,0.0675664557488857,0.0609215515532547,0.000548570344107657,-0.00446058890413958
"17","AGE_bucket20-24",-0.323144664923814,-0.29373564170478,"AGE_bucket","20-24",17473577,20442565,0.0638635001411416,0.0645812940046629,-0.000210841641113192,0.00187816315849965
"18","AGE_bucket25-29",-0.501926965421791,-0.537531814307083,"AGE_bucket","25-29",18659903,22473692,0.0681993571135543,0.070997945239369,-0.00150433015276743,-0.00242822780410213
"19","AGE_bucket30-34",-0.337676621294938,-0.394285048430209,"AGE_bucket","30-34",19848801,21445640,0.0725446143891999,0.0677501664765728,0.00189037912742629,-0.00410663651770737
"20","AGE_bucket35-39",-0.181232709526693,-0.186890456959356,"AGE_bucket","35-39",22607307,20655522,0.0826265711814663,0.0652540588278322,0.00324675677230273,-0.000467480270971688
"21","AGE_bucket40-44",-0.323852798391575,-0.266774134849112,"AGE_bucket","40-44",22388959,19615957,0.0818285395289421,0.0619699086782811,0.00529776906447297,0.00467066367594359
"22","AGE_bucket45-49",-0.67576333558551,-0.580320988106952,"AGE_bucket","45-49",19898169,20413532,0.0727250475812685,0.0644895741686816,0.00477921806832097,0.00694104926164611
"23","AGE_bucket5-9",0.159864903621727,0.141343646416197,"AGE_bucket","5-9",20593927,20078962,0.0752679465613228,0.0634326146562555,-0.00167284896800818,-0.00139405699759436
"24","AGE_bucket50-54",-1.09418000538888,-0.982493033915909,"AGE_bucket","50-54",17221775,21018774,0.0629431987590869,0.0664016293117603,-0.00339788392628357,0.00702993524422335
"25","AGE_bucket55-59",-1.39301623210042,-1.3220589253738,"AGE_bucket","55-59",13235543,21274705,0.0483740737370823,0.0672101557934375,-0.0249024104016776,0.00343249398777814
"26","AGE_bucket60-64",-1.55638077191214,-1.52233240964374,"AGE_bucket","60-64",10669334,19911751,0.038994935805925,0.0629043686777389,-0.0363981045569638,0.00132771370095295
"27","AGE_bucket65-69",-1.68472078103231,-1.64251650557905,"AGE_bucket","65-69",9317998,16588179,0.0340559901723704,0.0524046794030483,-0.0301380249171289,0.00143730839006845
"28","AGE_bucket70-74",-1.78356442154281,-1.73150299751153,"AGE_bucket","70-74",8751099,12535556,0.0319840529630335,0.0396018027849204,-0.0131901566508901,0.00166513534354753
"29","AGE_bucket75-79",-1.88637054270857,-1.81908700897065,"AGE_bucket","75-79",7044978,8718453,0.0257484173673965,0.0275429710732893,-0.00326444933328972,0.00173244450863714
"30","AGE_bucket80-84",-1.9627998935087,-1.88294337118221,"AGE_bucket","80-84",4569539,5786836,0.0167010311953558,0.018281529596348,-0.00297598898731228,0.00133368627052732
"31","AGE_bucket85plus",-1.99789942214682,-1.96393675583573,"AGE_bucket","85plus",3315326,5613523,0.012117056654681,0.017734006435344,-0.0110313341299275,0.000411527551835474
"32","sexmale",0.0699658830792737,0.0227430552172731,"sex","male",133350518,154930994,0.487377645980231,0.489451498574111,4.7165744055095e-05,-0.0230153506799115
"33","EDUC_buckeths",0.262987854481322,0.259667656675366,"EDUC_bucket","hs",81396367,87428755,0.297492430736587,0.276201256110309,-0.00552862942307145,-0.000987733715820246
"34","EDUC_bucketless_than_hs",0.506182747708813,0.497407000377129,"EDUC_bucket","less_than_hs",103422370,97046060,0.377994416431862,0.30658384272493,-0.0355201192627747,-0.00331718349139334
"35","EDUC_bucketsome_college",0.141814874529849,0.148659637607201,"EDUC_bucket","some_college",42787593,58483822,0.156382717264737,0.184759637701941,0.00421850270860309,0.00107040264906963
"36","INCTOT_cpiu_2010_bucket10 to 30k",-0.433828670463671,-0.414708925638213,"INCTOT_cpiu_2010_bucket","10 to 30k",62612506,76858394,0.228840024327488,0.242807814950825,-0.00579256744294391,0.00437536287099306
"37","INCTOT_cpiu_2010_bucket30k to 100k",-0.555790599213144,-0.523490956312375,"INCTOT_cpiu_2010_bucket","30k to 100k",76882967,86233380,0.280996579799081,0.272424877543294,0.00448720861110704,0.00907608918384773
"38","INCTOT_cpiu_2010_bucketneg",-0.408878541411863,-0.380177185489204,"INCTOT_cpiu_2010_bucket","neg",269948,201698,0.000986622494987769,0.00063719586256189,0.000132844033650641,2.83174033899462e-05
"39","INCTOT_cpiu_2010_bucketover 100k",-0.379150085174895,-0.395455655783584,"INCTOT_cpiu_2010_bucket","over 100k",12006563,16099046,0.043882322311289,0.0508594309432595,-0.00275913706952919,-0.000715526304919972
"40","INCTOT_cpiu_2010_bucketunder 10k",-0.247948075656205,-0.256460746470615,"INCTOT_cpiu_2010_bucket","under 10k",35637448,44123299,0.13024992910026,0.139392475708144,-0.00234470432770036,-0.00110877477003083
"41","tenurerenter",-0.551128899662798,-0.529012745464439,"tenure","renter",84345183,109065383,0.308269944180583,0.344554783866612,-0.0191951426610434,0.00681774562021718
