"","name","mean_2000","mean_2019","varname","value","weighted_count_2000","weighted_count_2019","prop_2000","prop_2019","e_component","c_component"
"25","sexmale",0.0729185633544054,0.02306316118304,"sex","male",133350518,154930994,0.487377645980231,0.489451498574111,4.78295966425171e-05,-0.0242984085496778
"26","us_bornTRUE",-0.577772475816152,-0.375135547632546,"us_born","TRUE",240977442,270128492,0.880739124060228,0.853378602973171,0.0102639040615049,0.178470270630684
"27","EDUC_buckeths",0.273450652504186,0.262451229496584,"EDUC_bucket","hs",81396367,87428755,0.297492430736587,0.276201256110309,-0.00558789495809298,-0.00327224508723122
"28","EDUC_bucketless_than_hs",0.544635283200514,0.506030112233456,"EDUC_bucket","less_than_hs",103422370,97046060,0.377994416431862,0.30658384272493,-0.036135900627574,-0.0145925390709455
"29","EDUC_bucketsome_college",0.145511414811973,0.150175775807316,"EDUC_bucket","some_college",42787593,58483822,0.156382717264737,0.184759637701941,0.00426152604167958,0.000729425446755527
"30","INCTOT_cpiu_2010_bucket10 to 30k",-0.431228554640499,-0.411815102595673,"INCTOT_cpiu_2010_bucket","10 to 30k",62612506,76858394,0.228840024327488,0.242807814950825,-0.00575214712858471,0.00444257483821848
"31","INCTOT_cpiu_2010_bucket30k to 100k",-0.558464221941941,-0.521222174512605,"INCTOT_cpiu_2010_bucket","30k to 100k",76882967,86233380,0.280996579799081,0.272424877543294,0.00446776128903605,0.0104648879523586
"32","INCTOT_cpiu_2010_bucketneg",-0.413917861841207,-0.379310378079602,"INCTOT_cpiu_2010_bucket","neg",269948,201698,0.000986622494987769,0.00063719586256189,0.000132541148056542,3.41445219741238e-05
"33","INCTOT_cpiu_2010_bucketover 100k",-0.384252259722963,-0.397456415122466,"INCTOT_cpiu_2010_bucket","over 100k",12006563,16099046,0.043882322311289,0.0508594309432595,-0.002773096584783,-0.000579429003089327
"34","INCTOT_cpiu_2010_bucketunder 10k",-0.251127927089581,-0.256044893525569,"INCTOT_cpiu_2010_bucket","under 10k",35637448,44123299,0.13024992910026,0.139392475708144,-0.00234090237276825,-0.000640434529675756
